t_s,q_rad,v_rad_s,torque_nm
0.89,0.6932953991669476,1.1179769470583545,-1.4051715672973906
0.895,0.698841769785954,1.10927412380128,-1.435673393054766
0.9,0.7043439290142055,1.1004318456503042,-1.4647411503812187
0.905,0.7098012164748552,1.0914574921299227,-1.4924076529588213
0.91,0.7152130078129898,1.0823582676269337,-1.5187052275073016
0.915,0.7205787138334295,1.0731412040879567,-1.5436657168771433
0.92,0.7258977796519167,1.063813163697439,-1.5673204832228702
0.925,0.7311696838595956,1.0543808415357785,-1.5897004112529611
0.93,0.7363939377006816,1.0448507682172101,-1.6108359115529414
0.935,0.7415700842632172,1.0352293125071197,-1.6307569239782334
0.9400000000000001,0.7466976976828096,1.025522683918468,-1.6494929211134561
0.9450000000000001,0.7517763823592447,1.015736935287023,-1.667072911794933
0.9500000000000001,0.7568057721858703,1.0058779653251178,-1.6835254446932293
0.9550000000000001,0.7617855297916386,0.9959515211536639,-1.6988786119526313
0.96,0.7667153457956994,0.9859632008121703,-1.7131600528845574
0.965,0.7715949380744321,0.9759184557465292,-1.7263969577119225
0.97,0.7764240510408039,0.9658225932743498,-1.7386160713616112
0.975,0.7812024549359421,0.9556807790276303,-1.7498436973022238
0.98,0.785929945132805,0.9454980393725777,-1.7601057014243704
0.985,0.790606341451837,0.935279263806397,-1.7694275159608344
0.99,0.7952314874884914,0.9250292073308832,-1.7778341434439917
0.995,0.7998052499525047,0.9147524928026669,-1.785350160697957
1.0,0.8043275180188045,0.9044536132599731,-1.7919997228629678
1.0050000000000001,0.8087982026899334,0.8941369342257683,-1.7978065674496002
1.01,0.8132172361698693,0.8838066959871816,-1.8027940184204518
1.0150000000000001,0.8175845712491248,0.8734670158510986,-1.806984990297023
1.02,0.8219001807010039,0.8631218903758369,-1.81040199228954
1.025,0.826164056688898,0.8527751975788254,-1.813067132447554
1.03,0.8303762101844991,0.8424306991202194,-1.8150021218292265
1.035,0.8345366703968111,0.832092042462393,-1.8162282786871957
1.04,0.8386454842118375,0.8217627630052634,-1.8167665326690767
1.045,0.8427027156428245,0.8114462861974101,-1.8166374290306062
1.05,0.8467084452909394,0.8011459296229609,-1.8158611328595677
1.055,0.8506627698162605,0.7908649050642287,-1.8144574333086374
1.06,0.854565801418961,0.7806063205400892,-1.8124457478353868
1.065,0.8584176673305615,0.7703731823201021,-1.8098451264476831
1.07,0.8622185093151333,0.7601683969143835,-1.8066742559528253
1.075,0.8659684831803296,0.7499947730392479,-1.8029514642087578
1.08,0.8696677582981228,0.7398550235586452,-1.7986947243757956
1.085,0.8733165171351299,0.7297517674014282,-1.7939216591673102
1.09,0.8769149547924023,0.7196875314544895,-1.7886495450978837
1.095,0.8804632785545614,0.7096647524318184,-1.782895316727494
1.1,0.883961707448159,0.6996857787195332,-1.7766755709003088
1.105,0.8874104718091438,0.6897528721969524,-1.7700065709767618
1.11,0.8908098128593126,0.6798682100337731,-1.7629042510575736
1.115,0.8941599822916297,0.6700338864634345,-1.7553842201984495
1.12,0.8974612418642934,0.6602519145327471,-1.7474617666142298
1.125,0.9007138630034328,0.6505242278278769,-1.7391518618713069
1.1300000000000001,0.9039181264143167,0.6408526821767785,-1.730469165067145
1.135,0.9070743217009576,0.6312390573281776,-1.721428026995813
1.1400000000000001,0.9101827469939936,0.6216850586072064,-1.7120424942984411
1.145,0.9132437085867326,0.6121923185478033,-1.7023263135975828
1.1500000000000001,0.9162575205792426,0.6027623985019936,-1.6922929356144687
1.155,0.9192245045303734,0.5933967902261683,-1.6819555192682172
1.16,0.9221449891175959,0.584096917444488,-1.671326935756047
1.165,0.9250193098045436,0.574864137389541,-1.6604197726136196
1.17,0.9278478085161456,0.5656997423203886,-1.6492463377546587
1.175,0.9306308333212362,0.5566049610181347,-1.6378186634890106
1.18,0.933368738122532,0.5475809602591625,-1.6261485105183602
1.185,0.9360618823538629,0.5386288462661819,-1.6142473719088488
1.19,0.9387106306845491,0.5297496661372384,-1.6021264770398573
1.195,0.9413153527308132,0.5209444092528333,-1.5897967955282697
1.2,0.9438764227741198,0.5122140086613126,-1.5772690411275323
1.205,0.9463942194863332,0.503559342442683,-1.564553675600896
1.21,0.9488691256615882,0.49498123505101443,-1.5516609125681973
1.215,0.9513015279547662,0.4864804586355969,-1.538600721325635
1.22,0.9536918166264713,0.47805773434101534,-1.5253828306379567
1.225,0.9560403852944028,0.469713733586314,-1.5120167325025413
1.23,0.9583476306910199,0.46144907932342183,-1.498511685884882
1.235,0.960613952427395,0.4532643472750123,-1.4848767204249742
1.24,0.9628397527631549,0.4451600671519749,-1.4711206401141719
1.245,0.9650254363824083,0.4371367238506761,-1.4572520269420817
1.25,0.9671714101755593,0.4291947586301897,-1.4432792445130898
1.2550000000000001,0.9692780830269077,0.42133457026967897,-1.4292104416321374
1.26,0.9713458656079382,0.4135565162061138,-1.4150535558593942
1.2650000000000001,0.9733751701762008,0.40586091365250765,-1.4008163170334824
1.27,0.9753664103796851,0.3982480406968615,-1.386506250762947
1.2750000000000001,0.9773200010665951,0.39071813738200145,-1.3721306818856798
1.28,0.9792363581004276,0.38327140676650007,-1.357696737896
1.285,0.981115898180262,0.3759080159668703,-1.3432113523391767
1.29,0.9829590386661682,0.3686280971812241,-1.3286812681731215
1.295,0.9847661974096411,0.3614317486945866,-1.3141130410970565
1.3,0.9865377925889715,0.35431903586605945,-1.2995130428469583
1.305,0.9882742425494616,0.3472899920980256,-1.2848874644575874
1.31,0.9899759656483995,0.3403446197875906,-1.2702423194909518
1.315,0.9916433801047018,0.3334828912604545,-1.2555834472310652
1.32,0.9932769038531388,0.3267047496874085,-1.2409165158448445
1.325,0.9948769544030571,0.32001010998365315,-1.2262470255090663
1.33,0.9964439487015128,0.31339885969113235,-1.2115803115032622
1.335,0.9979783030007332,0.30687085984407936,-1.196921547268486
1.34,0.999480432729823,0.30042594581797083,-1.1822757474318681
1.345,1.0009507523706334,0.29406392816208454,-1.1676477707969286
1.35,1.0023896753377126,0.28778459341585677,-1.1530423232995846
1.355,1.0037976138622589,0.28158770490923507,-1.1384639609298393
1.36,1.005174978879995,0.27547300354722204,-1.1239170926191404
1.365,1.0065221799228892,0.2694402085788055,-1.1094059830934047
1.37,1.0078396250146415,0.2634890183504703,-1.0949347556917237
1.375,1.0091277205698639,0.257619111044486,-1.0805073951507729
1.3800000000000001,1.0103868712968747,0.25183014540216536,-1.0661277503549589
1.385,1.011617480104036,0.2461217614322873,-1.0517995370523543
1.3900000000000001,1.0128199480095605,0.24049358110487712,-1.0375263405364756
1.395,1.0139946740547132,0.23494520903053742,-1.0233116182939748
1.4000000000000001,1.0151420552203407,0.22947623312552173,-1.0091587026183275
1.405,1.0162624863466545,0.2240862252627418,-0.9950708031896014
1.41,1.017356360056199,0.21877474190889967,-0.9810510096203846
1.415,1.0184240666799387,0.2135413247479344,-0.9671022939680266
1.42,1.0194659941863935,0.20838550129097239,-0.9532275132132596
1.425,1.0204825281137584,0.20330678547296963,-0.9394294117053563
1.43,1.0214740515049396,0.19830467823623338,-0.9257106235739375
1.435,1.0224409448454448,0.19337866810100934,-0.9120736751075846
1.44,1.0233835860040614,0.1885282317233199,-0.8985209870993954
1.445,1.0243023501762627,0.18375283444023793,-0.8850548771596493
1.45,1.0251976098302766,0.17905193080277934,-0.8716775619957261
1.455,1.0260697346557597,0.17442496509659655,-0.8583911596594733
1.46,1.026919091515013,0.1698713718506543,-0.8451976917621739
1.465,1.0277460443966833,0.16539057633406745,-0.8320990856573101
1.47,1.0285509543718896,0.1609819950412798,-0.8190971765913232
1.475,1.0293341795527184,0.15664503616576125,-0.8061937098225279
1.48,1.0300960750530304,0.15237910006239996,-0.7933903427084115
1.485,1.0308369929515242,0.1481835796987643,-0.7806886467615295
1.49,1.0315572822570012,0.14405786109540852,-0.7680901096741661
1.495,1.0322572888757782,0.1400013237553946,-0.7555961373120301
1.5,1.0329373555811943,0.13601334108320134,-0.743208055677152
